File Name,Company Name,Document Type,Date,Preferred Stock Type,Order of Priority,Liquidation Preference,Liquidation Multiple,Number of Preferred Stocks Issued,Original Issue Price
27_2006-08-30_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2006-08-30,A,1,$0.570000,1,"9,525,000",$0.570000
27_2006-08-30_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2006-08-30,B,1,$1.090000,1,"9,600,000",$1.090000
27_2006-08-30_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2006-08-30,C,1,$2.150000,1,"8,200,000",$2.150000
27_2009-08-04_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2009-08-04,A,2,$0.570000,1,"9,525,000",$0.570000
27_2009-08-04_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2009-08-04,B,2,$1.090000,1,"9,600,000",$1.090000
27_2009-08-04_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2009-08-04,C,2,$2.150000,1,"9,700,000",$2.150000
27_2009-08-04_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2009-08-04,D,1,$0.630400,1,"19,300,000",$0.630400
27_2010-10-10_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2010-10-10,A,2,$0.570000,1,"9,509,702",$0.570000
27_2010-10-10_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2010-10-10,B,2,$1.090000,1,"9,261,344",$1.090000
27_2010-10-10_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2010-10-10,C,2,$2.150000,1,"7,267,267",$2.150000
27_2010-10-10_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2010-10-10,D,1,$0.630400,1,"19,300,000",$0.630400
27_2010-10-10_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2010-10-10,E,1,$1.315800,1,"13,000,000",$1.315800
27_2013-09-26_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2013-09-26,A,3,$0.570000,1,"9,509,702",$0.570000
27_2013-09-26_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2013-09-26,B,3,$1.090000,1,"9,261,344",$1.090000
27_2013-09-26_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2013-09-26,C,3,$2.150000,1,"7,267,267",$2.150000
27_2013-09-26_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2013-09-26,D,2,$0.630400,1,"19,300,000",$0.630400
27_2013-09-26_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2013-09-26,D-1,1,$0.780000,1,"16,750,000",$0.780000
27_2013-09-26_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2013-09-26,E,2,$1.315800,1,"13,000,000",$1.315800
28_2007-06-15_Certificates of Incorporation,"The 41st Parameter, INC",Amended and Restated Certificate of Incorporation,2007-06-15,A,1,$0.442990,1,"9,819,635",$0.442990
28_2007-06-15_Certificates of Incorporation,"The 41st Parameter, INC",Amended and Restated Certificate of Incorporation,2007-06-15,B,1,$0.852850,1,"13,132,438",$0.852850
28_2007-06-15_Certificates of Incorporation,"The 41st Parameter, INC",Amended and Restated Certificate of Incorporation,2007-06-15,C,1,$0.968300,1,"11,000,000",$0.968300
28_2009-12-17_Certificates of Incorporation,"The 41st Parameter, INC",Amended and Restated Certificate of Incorporation,2009-12-17,A,1,$0.442990,1,"9,819,635",$0.442990
28_2009-12-17_Certificates of Incorporation,"The 41st Parameter, INC",Amended and Restated Certificate of Incorporation,2009-12-17,B,1,$0.852850,1,"13,132,438",$0.852850
28_2009-12-17_Certificates of Incorporation,"The 41st Parameter, INC",Amended and Restated Certificate of Incorporation,2009-12-17,C,1,$0.968300,1,"22,912,099",$0.968300
28_2012-03-16_Certificates of Incorporation,"The 41st Parameter, INC",Amended and Restated Certificate of Incorporation,2012-03-16,A,1,$0.442990,1,"9,819,635",$0.442990
28_2012-03-16_Certificates of Incorporation,"The 41st Parameter, INC",Amended and Restated Certificate of Incorporation,2012-03-16,B,1,$0.852850,1,"13,132,438",$0.852850
28_2012-03-16_Certificates of Incorporation,"The 41st Parameter, INC",Amended and Restated Certificate of Incorporation,2012-03-16,C,1,$0.968300,1,"16,408,199",$0.968300
28_2012-03-16_Certificates of Incorporation,"The 41st Parameter, INC",Amended and Restated Certificate of Incorporation,2012-03-16,D,1,$0.916500,1,"17,700,000",$0.916500
34_2008-09-29_Certificates of Incorporation,"4Home, INC",Restated Certificate of Incorporation,2008-09-29,A,1,$0.834375,1,"5,949,449",$0.834375
34_2008-09-29_Certificates of Incorporation,"4Home, INC",Restated Certificate of Incorporation,2008-09-29,B,1,$1.824000,1,"1,375,000",$1.824000
35_2007-06-20_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2007-06-20,A,4,$0.410000,1,"1,017,137",$0.410000
35_2007-06-20_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2007-06-20,B,3,$1.750000,1,"4,050,375",$1.750000
35_2007-06-20_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2007-06-20,C,2,$4.160000,1,"2,355,770",$4.160000
35_2007-06-20_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2007-06-20,D,1,$4.417000,1,"3,395,970",$4.417000
35_2007-10-29_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2007-10-29,A,5,$0.410000,1,"1,017,137",$0.410000
35_2007-10-29_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2007-10-29,B,4,$1.750000,1,"4,050,375",$1.750000
35_2007-10-29_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2007-10-29,C,3,$4.160000,1,"2,355,770",$4.160000
35_2007-10-29_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2007-10-29,D,2,$4.417000,1,"2,289,962",$4.417000
35_2007-10-29_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2007-10-29,E,1,$4.417000,1,"565,996",$4.417000
35_2013-03-04_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2013-03-04,A-1,1,$0.137146,1.5,"65,623,483",$0.137146
35_2013-03-04_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2013-03-04,A-2,2,$1.306000,1,"11,000,000",$1.306000
35_2017-09-29_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2017-09-29,A-1,3,$0.137146,1.5,"60,329,692",$0.137146
35_2017-09-29_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2017-09-29,A-2,4,$1.306000,1,"9,312,318",$1.306000
35_2017-09-29_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2017-09-29,B-1,2,$0.549600,1,"16,602,981",$0.549600
35_2017-09-29_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2017-09-29,B-2,1,$0.352400,1,"17,257,233",$0.352400
35_2018-02-23_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2018-02-23,A-1,4,$0.137146,1.5,"60,329,692",$0.137146
35_2018-02-23_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2018-02-23,A-2,5,$1.306000,1,"9,312,318",$1.306000
35_2018-02-23_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2018-02-23,B-1,3,$0.549600,1,"16,602,981",$0.549600
35_2018-02-23_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2018-02-23,B-2,2,$0.352400,1,"17,257,233",$0.352400
35_2018-02-23_Certificates of Incorporation,"4Info, INC",Amended and Restated Certificate of Incorporation,2018-02-23,B-3,1,$0.352400,3,"17,026,107",$0.352400
43_2005-10-31_Certificates of Incorporation,"6th Sense Software, INC",Amended and Restated Certificate of Incorporation,2005-10-31,1,1,$0.500000,1,"4,000,000",$0.500000
43_2007-01-26_Certificates of Incorporation,"6th Sense Analytics, INC",Amended and Restated Certificate of Incorporation,2007-01-26,1,1,$0.500000,1,"3,500,000",$0.500000
43_2007-01-26_Certificates of Incorporation,"6th Sense Analytics, INC",Amended and Restated Certificate of Incorporation,2007-01-26,A,2,$0.704000,1,"7,500,000",$0.704000
45_2008-01-17_Certificates of Incorporation,"A La Mobile, INC",Amended and Restated Certificate of Incorporation,2008-01-17,A,2,$1.000000,1,"3,560,000",$1.000000
45_2008-01-17_Certificates of Incorporation,"A La Mobile, INC",Amended and Restated Certificate of Incorporation,2008-01-17,B,1,$1.520000,1,"5,100,000",$1.520000
48_2004-10-19_Certificates of Incorporation,"Raksha Networks, INC",Amended and Restated Certificate of Incorporation,2004-10-19,Preferred Stock,1,$0.200000,1,"18,485,000",N/A
48_2006-07-25_Certificates of Incorporation,"A10 Networks, INC",Amended and Restated Articles of Incorporation,2006-07-25,A,1,$0.200000,1,"33,424,202",N/A
