File Name,Company Name,Document Type,Date,Preferred Stock Type,Order of Priority,Liquidation Preference,Liquidation Multiple,Number of Preferred Stocks Issued,Original Issue Price
81_2011-12-22_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2011-12-22,B,5,$1.850000,1,"16,944,378",N/A
81_2011-12-22_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2011-12-22,C,4,$2.600000,1,"11,923,077",N/A
81_2011-12-22_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2011-12-22,C-1,4,$2.730000,1,"2,014,652",N/A
81_2011-12-22_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2011-12-22,D,3,$3.140000,1,"955,414",N/A
81_2011-12-22_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2011-12-22,E,2,$3.140000,1.22^(x/365) * Series E Preferred Stock where x is the number of days elapsed from the date of issuance,"3,662,422",N/A
81_2011-12-22_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2011-12-22,F,1,$3.140000,1,"9,704,756",N/A
89_2010-12-07_Certificates of Incorporation,"Accept Software, CORP",Amended and Restated Certificate of Incorporation,2010-12-07,A1,5,$5.400000,1,"251,598",$5.400000
89_2010-12-07_Certificates of Incorporation,"Accept Software, CORP",Amended and Restated Certificate of Incorporation,2010-12-07,A2,4,$6.280000,1,"689,171",$6.280000
89_2010-12-07_Certificates of Incorporation,"Accept Software, CORP",Amended and Restated Certificate of Incorporation,2010-12-07,A3,3,$1.250000,1,"5,600,000",$1.250000
89_2010-12-07_Certificates of Incorporation,"Accept Software, CORP",Amended and Restated Certificate of Incorporation,2010-12-07,B,2,$0.410000,1,"42,000,000",$0.410000
89_2010-12-07_Certificates of Incorporation,"Accept Software, CORP",Amended and Restated Certificate of Incorporation,2010-12-07,C,1,$0.587000,1,"8,500,000",$0.587000
92_2004-11-23_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2004-11-23,A,1,$1.250000,1,"2,839,843",N/A
92_2004-11-23_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2004-11-23,B,1,$1.847000,1,"5,624,466",N/A
92_2004-11-23_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2004-11-23,C,1,$2.380000,1,"3,375,000",N/A
92_2007-12-20_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2007-12-20,A,1,$1.250000,1,"2,839,843",N/A
92_2007-12-20_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2007-12-20,B,1,$1.847000,1,"5,624,466",N/A
92_2007-12-20_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2007-12-20,C,1,$2.380000,1,"3,416,573",N/A
92_2007-12-20_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2007-12-20,D,1,$3.547000,1,"9,700,000",N/A
92_2007-12-20_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2007-12-20,E,1,$5.100000,1,"6,862,745",N/A
92_2010-02-23_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2010-02-23,A,1,$1.250000,1,"2,839,843",N/A
92_2010-02-23_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2010-02-23,B,1,$1.847000,1,"5,624,466",N/A
92_2010-02-23_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2010-02-23,C,1,$2.380000,1,"3,416,573",N/A
92_2010-02-23_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2010-02-23,D,1,$3.547000,1,"9,700,000",N/A
92_2010-02-23_Certificates of Incorporation,"Access Closure, INC",Amended and Restated Certificate of Incorporation,2010-02-23,E,1,$5.100000,1,"10,745,000",N/A
100_2007-02-22_Certificates of Incorporation,"Acclarent, INC",Amended and Restated Certificate of Incorporation,2007-02-22,A,1,$1.040000,1,"14,071,484",N/A
100_2007-02-22_Certificates of Incorporation,"Acclarent, INC",Amended and Restated Certificate of Incorporation,2007-02-22,B,1,$2.100000,1,"13,344,631",N/A
100_2007-02-22_Certificates of Incorporation,"Acclarent, INC",Amended and Restated Certificate of Incorporation,2007-02-22,C,1,$3.218000,1,"11,000,000",N/A
100_2008-12-03_Certificates of Incorporation,"Acclarent, INC",Amended and Restated Certificate of Incorporation,2008-12-03,A,2,$1.040000,1,"14,071,484",N/A
100_2008-12-03_Certificates of Incorporation,"Acclarent, INC",Amended and Restated Certificate of Incorporation,2008-12-03,B,2,$2.100000,1,"13,357,773",N/A
100_2008-12-03_Certificates of Incorporation,"Acclarent, INC",Amended and Restated Certificate of Incorporation,2008-12-03,C,2,$3.218000,1,"10,875,321",N/A
100_2008-12-03_Certificates of Incorporation,"Acclarent, INC",Amended and Restated Certificate of Incorporation,2008-12-03,D,1,$5.720000,1,"4,600,000",N/A
